	x	y	RT	fragment	x_aligned	rawfile	fragment_filter
131	12.20627147	0	12.206	y10++ 582.293	0.133471467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
132	12.23307907	0	12.233	y10++ 582.293	0.160279067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
133	12.25985493	0	12.26	y10++ 582.293	0.187054933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
134	12.2865076	0	12.287	y10++ 582.293	0.2137076	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
135	12.31361107	0	12.314	y10++ 582.293	0.240811067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
136	12.34052667	259.111	12.341	y10++ 582.293	0.267726667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
137	12.36711413	0	12.367	y10++ 582.293	0.294314133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
138	12.394034	0	12.394	y10++ 582.293	0.321234	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
139	12.42093747	0	12.421	y10++ 582.293	0.348137467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
140	12.4477352	0	12.448	y10++ 582.293	0.3749352	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
141	12.47456933	0	12.475	y10++ 582.293	0.401769333	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
142	12.5015128	0	12.502	y10++ 582.293	0.4287128	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
143	12.5282548	0	12.528	y10++ 582.293	0.4554548	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
144	12.5548932	0	12.555	y10++ 582.293	0.4820932	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
145	12.5819004	40.164066	12.582	y10++ 582.293	0.5091004	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
146	12.6088428	0	12.609	y10++ 582.293	0.5360428	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
147	12.63576707	94.29926	12.636	y10++ 582.293	0.562967067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
148	11.67077733	58.59487	11.671	b3+ 318.130	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
149	11.69717333	0	11.697	b3+ 318.130	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
150	11.72390093	81.79581	11.724	b3+ 318.130	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
151	11.75067573	0	11.751	b3+ 318.130	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
152	11.77740827	166.70381	11.777	b3+ 318.130	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
153	11.8039384	0	11.804	b3+ 318.130	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
154	11.83074293	68.84286	11.831	b3+ 318.130	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
155	11.85751787	0	11.858	b3+ 318.130	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
156	11.884296	0	11.884	b3+ 318.130	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
157	11.911254	0	11.911	b3+ 318.130	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
158	11.93814333	60.601498	11.938	b3+ 318.130	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
159	11.9652284	0	11.965	b3+ 318.130	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
160	11.99219253	0	11.992	b3+ 318.130	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
161	12.01895573	40.99829	12.019	b3+ 318.130	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
162	12.04586893	61.482586	12.046	b3+ 318.130	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
163	12.07276387	0	12.073	b3+ 318.130	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
164	12.0994984	0	12.099	b3+ 318.130	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
165	12.1261336	0	12.126	b3+ 318.130	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
166	12.15291293	0	12.153	b3+ 318.130	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
167	12.17959013	0	12.18	b3+ 318.130	0.106790133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
168	12.20627147	0	12.206	b3+ 318.130	0.133471467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
169	12.23307907	0	12.233	b3+ 318.130	0.160279067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
170	12.25985493	0	12.26	b3+ 318.130	0.187054933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
171	12.2865076	0	12.287	b3+ 318.130	0.2137076	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
172	12.31361107	0	12.314	b3+ 318.130	0.240811067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
173	12.34052667	0	12.341	b3+ 318.130	0.267726667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
174	12.36711413	0	12.367	b3+ 318.130	0.294314133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
175	12.394034	0	12.394	b3+ 318.130	0.321234	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
176	12.42093747	0	12.421	b3+ 318.130	0.348137467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
177	12.4477352	0	12.448	b3+ 318.130	0.3749352	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
178	12.47456933	153.90817	12.475	b3+ 318.130	0.401769333	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
179	12.5015128	45.01095	12.502	b3+ 318.130	0.4287128	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
180	12.5282548	161.90543	12.528	b3+ 318.130	0.4554548	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
181	12.5548932	0	12.555	b3+ 318.130	0.4820932	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
182	12.5819004	0	12.582	b3+ 318.130	0.5091004	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
183	12.6088428	0	12.609	b3+ 318.130	0.5360428	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
184	12.63576707	0	12.636	b3+ 318.130	0.562967067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	b3+
185	11.67077733	0	11.671	y9+ 1034.536	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
186	11.69717333	0	11.697	y9+ 1034.536	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
187	11.72390093	0	11.724	y9+ 1034.536	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
188	11.75067573	0	11.751	y9+ 1034.536	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
189	11.77740827	71.96762	11.777	y9+ 1034.536	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
190	11.8039384	0	11.804	y9+ 1034.536	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
191	11.83074293	0	11.831	y9+ 1034.536	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
192	11.85751787	0	11.858	y9+ 1034.536	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
193	11.884296	0	11.884	y9+ 1034.536	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
194	11.911254	0	11.911	y9+ 1034.536	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
195	11.93814333	0	11.938	y9+ 1034.536	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
196	11.9652284	0	11.965	y9+ 1034.536	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
197	11.99219253	0	11.992	y9+ 1034.536	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
198	12.01895573	0	12.019	y9+ 1034.536	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
199	12.04586893	0	12.046	y9+ 1034.536	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
200	12.07276387	0	12.073	y9+ 1034.536	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
201	12.0994984	0	12.099	y9+ 1034.536	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y9+
