,UMAP1,UMAP2,cluster,cell_id,selected_cluster
25443,-0.24053536,1.0044649,17,34464,0
25444,1.1372695,0.5991405,13,34466,0
25445,3.3009346,1.7345417,6,34467,0
25446,0.654828,2.418007,15,34469,0
25447,3.4772902,0.9948223,40,34470,0
25448,4.953502,0.86128753,30,34471,0
25449,1.9315196,-0.15988414,34,34472,0
25450,5.521898,1.3203602,30,34473,0
25451,1.154817,-0.010196836,12,34474,0
25452,6.555928,0.61515373,32,34476,0
25453,7.121897,0.7414623,32,34477,0
25454,6.6724753,2.606728,31,34478,0
25455,2.9658496,0.6739956,40,34479,0
25456,7.6080675,0.9457357,1,34481,0
25457,1.0559851,0.28121212,13,34482,0
25458,5.7848897,2.3049097,45,34484,0
25459,3.4513657,1.1512375,40,34485,0
25460,7.7184086,2.1918662,11,34486,0
25461,4.807642,1.5552225,30,34487,0
25462,-0.13986497,2.228094,38,34491,0
25463,4.534565,-1.102291,14,34492,0
25464,0.7969009,2.6934907,15,34493,0
25465,6.7144384,2.3579397,20,34495,0
25466,2.7266433,-0.9102652,42,34496,0
25467,6.7749524,2.5834355,20,34497,0
25468,5.841192,0.55415034,5,34498,5
25469,7.0245204,1.2642301,4,34499,0
25470,6.3036013,2.5064151,31,34500,0
25471,2.0577233,2.0171692,21,34501,0
25472,6.8016233,2.0824773,25,34502,0
25473,-0.2577912,-0.31241783,24,34503,0
25474,0.41055343,0.38029715,18,34504,0
25475,6.61893,2.6412356,31,34505,0
25476,2.993012,-0.4350152,42,34506,0
25477,5.4962544,-0.3595285,27,34507,0
25478,1.4971215,0.8894627,3,34509,0
25479,5.4051933,0.8506717,5,34513,0
25480,1.0322124,-1.2462311,29,34514,29
25481,-0.20062862,-0.3444954,24,34515,0
25482,0.11151276,0.47613004,41,34516,0
25483,5.594137,-0.60139257,27,34517,0
25484,0.5426091,1.5737878,22,34518,0
25485,1.2563988,-0.08123451,12,34520,0
25486,5.991065,0.6294963,5,34522,0
25487,3.3106694,-0.72700477,26,34523,0
25488,0.56338316,1.1416396,43,34524,0
25489,7.8105927,2.2241669,11,34526,0
25490,0.17308754,1.7291257,49,34527,0
25491,6.2988567,2.5569963,31,34528,0
25492,3.1027198,1.132523,40,34530,0
25493,7.0419292,1.9787744,20,34531,0
25494,0.6743695,0.038027313,18,34532,0
25495,0.10738627,-0.087569535,41,34533,0
25496,2.2598917,-0.62832886,10,34534,0
25497,3.7461815,0.56803334,35,34535,0
25498,8.745134,2.0307682,9,34539,0
25499,3.710134,-0.6629537,26,34542,0
25500,5.1612716,0.7964405,30,34543,0
25501,-0.14889856,1.6084266,49,34544,49
25502,3.970545,1.5169814,47,34546,0
25503,0.79150414,1.5329211,22,34547,0
25504,0.5782489,1.0735003,43,34548,0
25505,0.3247037,-0.06355821,18,34550,0
25506,4.451596,1.8372903,16,34551,0
25507,6.979611,2.274487,20,34552,0
25508,5.4955378,-0.81184155,27,34554,0
25509,7.9622073,2.4311414,36,34555,0
25510,0.6774938,0.007515337,18,34556,0
25511,6.991991,0.26260957,23,34557,0
25512,7.2420335,2.1484072,20,34558,0
25513,-0.14902602,1.860997,49,34559,0
25514,3.2435908,1.188902,40,34560,0
25515,4.0034423,1.4107829,47,34561,0
25516,6.06687,1.8247203,7,34562,0
25517,2.5041807,0.63765305,8,34563,0
25518,3.484455,-1.0598452,26,34564,0
25519,5.1376395,1.3060778,30,34565,30
25520,-0.1624956,-0.09734209,24,34566,0
25521,0.11675504,-0.22207467,24,34567,0
25522,1.9437011,0.17594004,34,34568,34
25523,4.860294,-0.2849243,19,34570,0
25524,1.1037507,0.21101137,13,34573,0
25525,1.5163465,1.6786033,21,34574,0
25526,4.396571,0.84619653,47,34575,0
25527,5.554267,1.6330117,30,34576,0
25528,0.6963521,1.8233569,22,34577,22
25529,2.4482884,0.16259997,2,34578,0
25530,0.12964061,1.2380433,17,34583,0
25531,0.7466173,0.8370442,43,34584,43
25532,5.345195,0.9484298,30,34585,0
25533,7.5299315,1.4167225,4,34586,0
25534,6.655413,2.3029509,25,34588,0
25535,6.0798554,1.7230914,7,34589,0
25536,5.2323136,-0.5865949,39,34590,0
25537,2.732277,1.3695468,21,34591,0
25538,7.267738,1.5343512,4,34593,4
25539,1.9254508,1.8364426,21,34594,21
25540,2.9408422,1.4793236,21,34595,0
25541,2.9266586,1.3585637,40,34596,0
25542,0.7567336,2.153421,22,34597,0
25543,1.9784253,0.90360105,8,34598,0
25544,6.6268306,1.9775485,25,34599,25
25545,2.8583317,1.0178591,40,34600,0
25546,1.2385814,0.28751647,13,34601,13
25547,3.3860092,1.5910698,6,34602,0
25548,4.4515643,1.5232143,47,34603,0
25549,0.31295323,1.6664265,22,34605,0
25550,2.6249454,0.7445523,8,34607,0
25551,1.1562123,-0.039643947,12,34608,0
25552,2.8669448,-0.4915106,42,34609,0
25553,2.379824,0.25028837,2,34610,0
25554,3.5230606,1.0064787,40,34611,0
25555,0.030187208,2.0173128,49,34612,0
25556,5.6998177,1.3858494,7,34613,0
25557,2.935012,-0.7982104,42,34615,0
25558,0.040926114,-0.19790408,24,34616,0
25559,0.2495217,0.67442346,17,34617,0
25560,0.703761,0.14027707,18,34618,0
25561,8.0188,2.873554,36,34619,0
25562,5.2918625,1.807187,16,34620,0
25563,0.8572085,-1.2904962,29,34621,0
25564,0.1306566,1.9983131,49,34622,0
25565,5.011799,2.1887023,16,34623,0
25566,5.674573,-0.24346332,27,34624,27
25567,4.8603134,2.6030753,16,34625,0
25568,6.2301855,2.7079651,31,34626,0
25569,8.34607,2.136942,11,34627,0
25570,1.4904709,-0.8441509,10,34629,0
25571,6.863203,0.6603778,32,34630,0
25572,-0.18008995,1.5938705,49,34631,0
25573,3.9322617,0.8523974,47,34633,0
25574,1.4746952,1.0045834,3,34634,3
25575,8.841638,2.3041925,9,34635,0
25576,3.3198225,0.8779319,40,34636,40
25577,2.7405791,-0.7812921,42,34638,42
25578,6.077706,1.9338443,45,34639,0
25579,0.17219277,-0.22005951,24,34641,0
25580,7.5997305,2.1563678,11,34642,0
25581,0.70407665,0.11124825,18,34643,0
25582,0.8407911,0.79545856,43,34645,0
25583,4.815278,1.5296981,30,34646,0
25584,-0.03724803,-0.29064086,24,34647,24
25585,1.627037,-0.31236362,10,34648,0
25586,-0.17817625,0.48350134,41,34649,0
25587,-0.091271296,1.4891765,49,34654,0
25588,-0.025416773,1.5173862,49,34656,0
25589,1.074568,0.53173083,13,34657,0
25590,5.4845085,-0.39019573,27,34658,0
25591,0.06564263,1.5569029,49,34659,0
25592,-0.28890872,1.098942,17,34660,0
25593,3.7190146,-0.75975215,26,34664,0
25594,7.7842655,2.7872388,36,34665,0
25595,0.048675217,-0.11912433,41,34666,0
25596,0.14316465,-0.13145001,41,34668,0
25597,4.0732026,1.8436913,6,34670,0
25598,5.675566,1.326908,7,34671,0
25599,1.3187935,-0.075524524,12,34673,0
25600,6.352139,1.7552933,25,34675,0
25601,4.7609115,2.3746707,16,34676,0
25602,0.85788304,-1.1670752,29,34677,0
25603,1.013943,1.2936094,22,34678,0
25604,4.337754,-0.49658108,50,34679,0
25605,5.5099783,1.3710756,30,34680,0
25606,8.841934,2.433402,9,34681,0
25607,9.064808,2.3617184,9,34683,0
25608,2.206883,-0.026354225,34,34684,0
25609,4.36852,1.1055197,47,34686,0
25610,8.736428,2.7715068,28,34687,0
25611,8.489289,2.6204765,28,34688,28
25612,4.7549515,-0.043268356,19,34691,0
25613,1.0293396,0.90327734,43,34692,0
25614,3.6673336,-0.6819696,26,34694,0
25615,3.7868645,2.0160816,6,34695,0
25616,2.4747899,-0.15668814,2,34696,0
25617,5.9859633,1.9541048,45,34697,0
25618,9.022497,2.5913725,9,34698,0
25619,5.1572514,1.65902,30,34699,0
25620,0.37720928,0.8513768,43,34700,0
25621,0.020061642,1.2371651,17,34702,0
25622,1.9013183,0.8369823,3,34703,0
25623,0.20260105,-0.5210839,48,34706,0
25624,0.35306904,1.2048776,43,34707,0
25625,3.8522735,0.068769656,35,34708,0
25626,0.7176546,-0.2533069,18,34712,0
25627,6.8846145,0.48058003,23,34716,0
25628,1.6864192,-0.42571178,10,34717,0
25629,3.8731236,0.98119754,47,34718,0
25630,6.362947,2.7272456,31,34719,0
25631,6.432095,1.9296228,25,34721,0
25632,0.91455007,2.6169083,15,34722,0
25633,4.3284407,0.23984902,35,34724,0
25634,0.02475245,0.45684084,41,34725,0
25635,0.15242693,2.12014,38,34726,0
25636,6.4534082,1.6911714,25,34729,0
25637,4.8758483,0.35389122,19,34730,0
25638,0.88215774,-0.37228486,12,34731,0
25639,5.949755,1.4771631,7,34732,7
25640,1.926961,1.3220434,3,34733,0
25641,6.496342,1.4826084,7,34734,0
25642,1.2695628,2.332564,37,34735,0
25643,1.649275,0.05840431,34,34736,0
25644,7.904752,2.2782288,11,34737,0
25645,0.04837274,2.345763,38,34739,0
25646,0.24257682,0.19951633,18,34740,0
25647,5.092422,2.128779,16,34741,0
25648,0.28400317,1.4316375,22,34742,0
25649,0.59771806,1.0292969,43,34745,0
25650,8.549323,2.985687,28,34746,0
25651,1.9116114,1.1061498,3,34747,0
25652,4.6107616,-1.060393,14,34748,0
25653,0.32929903,0.72246724,43,34749,0
25654,3.8725045,1.9905022,6,34750,0
25655,0.103666954,2.0298517,38,34752,0
25656,2.5378287,0.8438446,8,34754,0
25657,3.102122,0.4651264,2,34756,0
25658,2.1442277,1.9005173,21,34757,21
25659,7.477304,2.436363,36,34758,0
25660,0.6910304,0.45387635,43,34760,0
25661,6.0066833,1.3246063,7,34761,0
25662,4.2244186,0.4377604,35,34762,0
25663,0.6687107,0.8729111,43,34763,43
25664,3.6568546,-0.8744463,26,34765,26
25665,5.9331617,1.2651204,7,34766,0
25666,0.52055514,2.1658957,22,34767,0
25667,6.1553917,1.874139,7,34768,0
25668,7.3188934,0.46305338,1,34769,0
25669,3.957007,-0.26082247,50,34770,0
25670,4.3584824,1.7300059,47,34771,0
25671,1.8455698,1.2541748,3,34772,0
25672,0.45910263,2.06503,22,34773,0
25673,4.3348837,1.4164311,47,34774,0
25674,6.0642333,2.1079369,45,34775,0
25675,1.7107962,0.9444654,3,34776,0
25676,4.0462127,1.1621742,47,34779,0
25677,0.052656695,1.9521418,49,34780,0
25678,1.2374487,1.4840207,3,34782,0
25679,4.770541,2.1842647,16,34783,0
25680,0.061549738,2.24247,38,34784,38
25681,0.8009025,-1.2833025,29,34785,0
25682,0.6096076,0.87488675,43,34786,43
25683,6.979599,0.5824851,32,34787,0
25684,-0.2099623,0.8880539,17,34789,0
